"team1","name","team2","team3","team4","team5","team6","team7","team8","team9","team10","team11","team12","team13","team14","team15","team16","team17","team18","team19","team20","team21","team22","team23","team24","seed","cost"
"278","Fresno St","278","278","278","278","278","278","278","278","278","278","278","278","278","278","278","278","278","278","278","278","278","278","278",NA,NA
"231","Furman","231","231","231","231","231","231","231","231","231","231","231","231","231","231","231","231","231","231","231","231","231","231","231",NA,NA
"2241","Gardner-Webb","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241","2241",NA,NA
"2244","George Mason","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244","2244",NA,NA
"45","G Washington","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45",NA,NA
"46","Georgetown","46","46","46","46","46","46","46","46","46","46","46","46","46","46","46","46","46","46","46","46","46","46","46",NA,NA
"61","Georgia","61","61","61","61","61","61","61","61","61","61","61","61","61","61","61","61","61","61","61","61","61","61","61",NA,NA
"290","GA Southern","290","290","290","290","290","290","290","290","290","290","290","290","290","290","290","290","290","290","290","290","290","290","290",NA,NA
"2247","Georgia St","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247","2247",NA,NA
"59","Georgia Tech","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59","59",NA,NA
"2250","Gonzaga","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250",5,11
"2755","Grambling","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755","2755",16,1
"2253","Grand Canyon","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253","2253",12,3
"2739","Green Bay","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739","2739",NA,NA
"2261","Hampton","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261","2261",NA,NA
